Speaker	Language	Village	District	Lexeme	Present	Code
Mikik1	Tsakhur	Mikik	Rutul	the_ant	1	5
Mikik2	Tsakhur	Mikik	Rutul	the_ant	1	5
Ikhrek1	Rutul	Ikhrek	Rutul	the_axe.ax	1	1
Ikhrek2	Rutul	Ikhrek	Rutul	the_axe.ax	1	1
Ikhrek3	Rutul	Ikhrek	Rutul	the_axe.ax	1	1
Ikhrek4	Rutul	Ikhrek	Rutul	the_axe.ax	1	1
Kiche1	Rutul	Kiche	Rutul	the_axe.ax	1	1
Kiche2	Rutul	Kiche	Rutul	the_axe.ax	1	1
Kina1	Rutul	Kina	Rutul	the_axe.ax	1	1
Kina2	Rutul	Kina	Rutul	the_axe.ax	1	1
Kina3	Rutul	Kina	Rutul	the_axe.ax	1	1
Rutul1	Rutul	Rutul	Rutul	the_axe.ax	1	1
Zilo1	Andi	Zilo	Botlikh	the_axe.ax	1	1
Ikhrek1	Rutul	Ikhrek	Rutul	the_beak_	1	22
Ikhrek2	Rutul	Ikhrek	Rutul	the_beak_	1	22
Ikhrek3	Rutul	Ikhrek	Rutul	the_beak_	1	22
Ikhrek4	Rutul	Ikhrek	Rutul	the_beak_	1	22
Khlut1	Lezgian	Khlyut	Rutul	the_beak_	1	22
Khlut2	Lezgian	Khlyut	Rutul	the_beak_	1	22
Khlut4	Lezgian	Khlyut	Rutul	the_beak_	1	22
Khlut5	Lezgian	Khlyut	Rutul	the_beak_	1	22
Kiche1	Rutul	Kiche	Rutul	the_beak_	1	22
Kiche2	Rutul	Kiche	Rutul	the_beak_	1	22
Kina1	Rutul	Kina	Rutul	the_beak_	1	22
Kina2	Rutul	Kina	Rutul	the_beak_	1	22
Kina3	Rutul	Kina	Rutul	the_beak_	1	22
Mikik1	Tsakhur	Mikik	Rutul	the_beak_	1	22
Mikik2	Tsakhur	Mikik	Rutul	the_beak_	1	22
Rutul1	Rutul	Rutul	Rutul	the_beak_	1	22
Helmets1	Tsakhur	Gelmets	Rutul	the_beard	1	5
Helmets2	Tsakhur	Gelmets	Rutul	the_beard	1	5
Helmets3	Tsakhur	Gelmets	Rutul	the_beard	1	5
Mikik1	Tsakhur	Mikik	Rutul	the_beard	1	5
Mikik2	Tsakhur	Mikik	Rutul	the_beard	1	5
Bezhta1	Bezhta	Bezhta	Tsunta	the_blanket	1	3
Helmets1	Tsakhur	Gelmets	Rutul	the_blanket	1	3
Helmets2	Tsakhur	Gelmets	Rutul	the_blanket	1	3
