Bezhta1	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Karata1	Karata2	Karata3	Karata4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kusur1	Mikik1	Mikik2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	Tukita1	Zilo1	Zilo2
Bezhta1	0.0	0.4166666666666667	0.4	0.36363636363636365	0.2727272727272727	0.3333333333333333	0.3333333333333333	0.2727272727272727	0.25	0.25	0.2222222222222222	0.25	0.3333333333333333	0.2727272727272727	0.14285714285714285	0.36363636363636365	0.3333333333333333	0.2727272727272727	0.3	0.0	0.06666666666666667	0.07692307692307693	0.2727272727272727	0.2727272727272727	0.3333333333333333	0.42857142857142855	0.5	0.14285714285714285	0.2727272727272727	0.0	0.0	0.14285714285714285	0.25	0.16666666666666666	0.09090909090909091	0.09090909090909091	0.125	0.06666666666666667	0.2857142857142857
Helmets1	0.4166666666666667	0.0	0.0	0.0	0.034482758620689655	0.03225806451612903	0.03125	0.037037037037037035	0.7272727272727273	0.7	0.5555555555555556	0.75	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.037037037037037035	0.0	0.0	0.0	0.25	0.0	0.5555555555555556	0.375	0.5833333333333334	0.75	0.6666666666666666	0.5	0.625	0.5384615384615384	0.6363636363636364	0.05
Helmets2	0.4	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.8181818181818182	0.7777777777777778	0.625	0.875	0.0	0.037037037037037035	0.0	0.041666666666666664	0.0	0.041666666666666664	0.0	0.42857142857142855	0.5	0.5	0.0	0.037037037037037035	0.0	0.0	0.0	0.14285714285714285	0.0	0.625	0.5	0.6363636363636364	0.7272727272727273	0.625	0.5	0.7142857142857143	0.5454545454545454	0.6	0.058823529411764705
Helmets3	0.36363636363636365	0.0	0.0	0.0	0.034482758620689655	0.034482758620689655	0.03333333333333333	0.038461538461538464	0.7272727272727273	0.7	0.5555555555555556	0.75	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.42857142857142855	0.0	0.038461538461538464	0.0	0.0	0.0	0.25	0.0	0.625	0.375	0.5833333333333334	0.75	0.6666666666666666	0.5	0.625	0.5384615384615384	0.5833333333333334	0.05263157894736842
Ikhrek1	0.2727272727272727	0.034482758620689655	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.5	0.5	0.3333333333333333	0.5	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.4	0.3333333333333333	0.0	0.0	0.02702702702702703	0.03333333333333333	0.034482758620689655	0.2222222222222222	0.0	0.3333333333333333	0.14285714285714285	0.46153846153846156	0.5833333333333334	0.5555555555555556	0.4	0.5	0.46153846153846156	0.5	0.05263157894736842
Ikhrek2	0.3333333333333333	0.03225806451612903	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.5454545454545454	0.5454545454545454	0.4	0.5555555555555556	0.0	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.3333333333333333	0.0	0.02702702702702703	0.025	0.03225806451612903	0.03333333333333333	0.2222222222222222	0.0	0.42857142857142855	0.14285714285714285	0.5	0.6153846153846154	0.5555555555555556	0.4	0.5	0.46153846153846156	0.5454545454545454	0.05555555555555555
Ikhrek3	0.3333333333333333	0.03125	0.034482758620689655	0.03333333333333333	0.0	0.0	0.0	0.0	0.5	0.5	0.4	0.5	0.03333333333333333	0.03225806451612903	0.0	0.0	0.03333333333333333	0.0	0.0	0.45454545454545453	0.4	0.3333333333333333	0.0	0.02702702702702703	0.02564102564102564	0.03125	0.03225806451612903	0.2222222222222222	0.0	0.375	0.125	0.4666666666666667	0.6153846153846154	0.5555555555555556	0.4	0.5	0.46153846153846156	0.5454545454545454	0.05263157894736842
Ikhrek4	0.2727272727272727	0.037037037037037035	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.5555555555555556	0.6	0.375	0.5714285714285714	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.3333333333333333	0.0	0.03125	0.03125	0.037037037037037035	0.038461538461538464	0.25	0.0	0.4	0.0	0.5	0.6666666666666666	0.625	0.375	0.42857142857142855	0.45454545454545453	0.5555555555555556	0.0
Karata1	0.25	0.7272727272727273	0.8181818181818182	0.7272727272727273	0.5	0.5454545454545454	0.5	0.5555555555555556	0.0	0.0	0.0	0.037037037037037035	0.5454545454545454	0.5555555555555556	0.5	0.5555555555555556	0.5454545454545454	0.4444444444444444	0.5555555555555556	0.2727272727272727	0.09090909090909091	0.1111111111111111	0.5	0.5	0.5	0.6666666666666666	0.8	0.08333333333333333	0.5	0.0	0.05263157894736842	0.0	0.05555555555555555	0.06666666666666667	0.0	0.0	0.0	0.0	0.75
Karata2	0.25	0.7	0.7777777777777778	0.7	0.5	0.5454545454545454	0.5	0.6	0.0	0.0	0.0	0.0	0.5	0.5	0.4	0.5	0.5	0.4444444444444444	0.5	0.25	0.08333333333333333	0.1	0.5	0.5	0.5	0.6666666666666666	0.7777777777777778	0.07692307692307693	0.45454545454545453	0.0	0.058823529411764705	0.0	0.058823529411764705	0.06666666666666667	0.0	0.0	0.0	0.0	0.75
