Speaker	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Archi	D_Avar	D_Azerbaijani	D_Bagvalal	D_Bezhta1	D_Bezhta2	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Persian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Kusur1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2
Alibeglo1	0.0	0.7037037037037037	0.7916666666666666	0.7037037037037037	0.6296296296296297	0.7037037037037037	0.6896551724137931	0.5454545454545454	0.5263157894736842	0.0	0.6363636363636364	0.890625	0.7808219178082192	0.75	0.5238095238095238	0.5217391304347826	0.8	0.9111111111111111	0.75	0.1276595744680851	0.6764705882352942	0.8076923076923077	0.8160919540229885	0.6666666666666666	0.0	0.0	0.5757575757575758	0.64	0.55	0.7945205479452054	0.8142857142857143	0.8676470588235294	0.8194444444444444	0.8028169014084507	0.8	0.782608695652174	0.7727272727272727	0.7272727272727273	0.7368421052631579	0.5882352941176471	0.5909090909090909	0.631578947368421	0.5789473684210527	0.6	0.631578947368421	0.6190476190476191	0.5789473684210527	0.5897435897435898	0.5757575757575758	0.6363636363636364	0.5555555555555556	0.5333333333333333	0.5161290322580645	0.5517241379310345	0.7088607594936709	0.7272727272727273	0.7272727272727273	0.7727272727272727	0.75	0.7142857142857143	0.7272727272727273	0.6666666666666666	0.7391304347826086	0.75	0.7272727272727273	0.6956521739130435	0.6956521739130435	0.6521739130434783	0.5666666666666667	0.5666666666666667	0.5909090909090909	0.5555555555555556	0.5714285714285714	0.6818181818181818	0.6842105263157895	0.7083333333333334	0.75	0.7142857142857143	0.7142857142857143	0.7333333333333333	0.55	0.6111111111111112	0.5294117647058824	0.5862068965517241	0.5862068965517241	0.6111111111111112	0.65	0.6111111111111112	0.6333333333333333	0.65625	0.5666666666666667	0.5263157894736842	0.631578947368421	0.7083333333333334	0.6956521739130435	0.6818181818181818	0.7272727272727273	0.6956521739130435	0.68	0.012195121951219513	0.011904761904761904	0.6222222222222222	0.6666666666666666	0.6825396825396826	0.7236842105263158	0.7333333333333333	0.0410958904109589	0.037037037037037035	0.024096385542168676	0.6794871794871795	0.7236842105263158	0.7272727272727273	0.5882352941176471	0.5294117647058824	0.6666666666666666	0.5172413793103449	0.7777777777777778	0.6842105263157895	0.7272727272727273	0.6956521739130435	0.7391304347826086	0.7916666666666666	0.782608695652174	0.7142857142857143	0.75	0.7692307692307693	0.8260869565217391	0.5625	0.6666666666666666	0.72	0.5862068965517241	0.5862068965517241	0.6071428571428571	0.78125	0.65	0.6956521739130435	0.6666666666666666	0.7391304347826086	0.6818181818181818	0.7083333333333334	0.7808219178082192	0.8055555555555556	0.8235294117647058	0.821917808219178	0.8095238095238095	0.8333333333333334
Arkhit1	0.7037037037037037	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.7	0.08333333333333333	0.0	0.5714285714285714	0.75	0.35714285714285715	0.7777777777777778	0.7142857142857143	0.6666666666666666	0.875	0.8378378378378378	0.7	1.0	0.5294117647058824	0.8125	0.40540540540540543	0.13333333333333333	0.0	0.0	0.14285714285714285	0.03125	0.7777777777777778	0.2571428571428571	0.20588235294117646	0.23529411764705882	0.25	0.28125	0.28125	0.1724137931034483	0.041666666666666664	0.15384615384615385	0.04	0.2727272727272727	0.4375	0.35714285714285715	0.3076923076923077	0.35714285714285715	0.4166666666666667	0.4375	0.46153846153846156	0.2	0.17391304347826086	0.15	0.047619047619047616	0.11538461538461539	0.08	0.13636363636363635	0.34375	0.7857142857142857	0.7692307692307693	0.7142857142857143	0.7857142857142857	0.14285714285714285	0.04	0.0	0.1111111111111111	0.07407407407407407	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.034482758620689655	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.08	0.04	0.7777777777777778	0.8	0.75	0.08	0.1111111111111111	0.07692307692307693	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.8260869565217391	0.782608695652174	0.18518518518518517	0.17391304347826086	0.32	0.3870967741935484	0.3	0.9	0.7727272727272727	0.8333333333333334	0.27586206896551724	0.4	0.3448275862068966	0.23076923076923078	0.2631578947368421	0.6	0.07407407407407407	0.6666666666666666	0.6	0.07407407407407407	0.13333333333333333	0.10344827586206896	0.07692307692307693	0.11538461538461539	0.7692307692307693	0.8333333333333334	0.7142857142857143	0.9166666666666666	0.04	0.0	0.0	0.0	0.02857142857142857	0.0	0.8125	0.043478260869565216	0.06896551724137931	0.037037037037037035	0.03333333333333333	0.034482758620689655	0.037037037037037035	0.2857142857142857	0.2777777777777778	0.25	0.19444444444444445	0.9	0.7142857142857143
Arkhit2	0.7916666666666666	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.7777777777777778	0.09523809523809523	0.0	0.5	0.7692307692307693	0.2692307692307692	0.7692307692307693	0.6	0.6666666666666666	0.8333333333333334	0.8529411764705882	0.6	1.0	0.5384615384615384	0.8181818181818182	0.42424242424242425	0.13333333333333333	0.0	0.0	0.16666666666666666	0.0625	0.7142857142857143	0.24242424242424243	0.18181818181818182	0.18181818181818182	0.17647058823529413	0.23333333333333334	0.23333333333333334	0.17857142857142858	0.04	0.18518518518518517	0.08	0.25	0.42857142857142855	0.38461538461538464	0.3333333333333333	0.25	0.35714285714285715	0.35714285714285715	0.3333333333333333	0.25	0.18181818181818182	0.15	0.09523809523809523	0.13043478260869565	0.16	0.14285714285714285	0.2903225806451613	0.8181818181818182	0.8181818181818182	0.7	0.8181818181818182	0.14814814814814814	0.07407407407407407	0.038461538461538464	0.10714285714285714	0.07692307692307693	0.0	0.0	0.0	0.0	0.037037037037037035	0.037037037037037035	0.0	0.10344827586206896	0.037037037037037035	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.10526315789473684	0.043478260869565216	0.0	0.0	0.125	0.08695652173913043	0.75	0.7777777777777778	0.7142857142857143	0.08695652173913043	0.125	0.125	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.03333333333333333	0.03125	0.9	0.85	0.2222222222222222	0.17391304347826086	0.32	0.3448275862068966	0.25	0.9375	0.7894736842105263	0.8571428571428571	0.25	0.35714285714285715	0.32142857142857145	0.28	0.3333333333333333	0.5	0.13043478260869565	0.7	0.7777777777777778	0.07407407407407407	0.14285714285714285	0.14285714285714285	0.1111111111111111	0.1111111111111111	0.8	0.8888888888888888	0.75	0.9	0.045454545454545456	0.0	0.0	0.027777777777777776	0.030303030303030304	0.027777777777777776	0.7857142857142857	0.08	0.10344827586206896	0.07142857142857142	0.06896551724137931	0.06896551724137931	0.03571428571428571	0.23529411764705882	0.2857142857142857	0.23333333333333334	0.22857142857142856	0.75	0.5714285714285714
Arkhit3	0.7037037037037037	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.7	0.08	0.0	0.5714285714285714	0.7857142857142857	0.36666666666666664	0.7647058823529411	0.6666666666666666	0.625	0.8571428571428571	0.8157894736842105	0.6363636363636364	1.0	0.5625	0.8	0.40540540540540543	0.12903225806451613	0.0	0.0	0.17857142857142858	0.029411764705882353	0.7777777777777778	0.21621621621621623	0.16666666666666666	0.19444444444444445	0.21052631578947367	0.23529411764705882	0.23529411764705882	0.16129032258064516	0.038461538461538464	0.14285714285714285	0.038461538461538464	0.23076923076923078	0.3888888888888889	0.3125	0.26666666666666666	0.3125	0.35714285714285715	0.3888888888888889	0.4	0.25	0.24	0.21739130434782608	0.13043478260869565	0.17857142857142858	0.14814814814814814	0.20833333333333334	0.35294117647058826	0.7857142857142857	0.7692307692307693	0.7142857142857143	0.7857142857142857	0.13793103448275862	0.037037037037037035	0.0	0.10344827586206896	0.07142857142857142	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.03333333333333333	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.11538461538461539	0.04	0.7777777777777778	0.8	0.75	0.14814814814814814	0.1724137931034483	0.14285714285714285	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.8260869565217391	0.782608695652174	0.23333333333333334	0.23076923076923078	0.35714285714285715	0.3939393939393939	0.3125	0.8947368421052632	0.7619047619047619	0.8333333333333334	0.2903225806451613	0.40625	0.3548387096774194	0.25925925925925924	0.3333333333333333	0.6	0.10714285714285714	0.6666666666666666	0.6	0.06896551724137931	0.125	0.1	0.07407407407407407	0.10714285714285714	0.7692307692307693	0.8333333333333334	0.7142857142857143	0.9166666666666666	0.038461538461538464	0.0	0.0	0.0	0.027777777777777776	0.0	0.7647058823529411	0.04	0.06451612903225806	0.034482758620689655	0.03225806451612903	0.03225806451612903	0.034482758620689655	0.24324324324324326	0.2631578947368421	0.20588235294117646	0.1794871794871795	0.8181818181818182	0.625
Arkhit4	0.6296296296296297	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.5454545454545454	0.08695652173913043	0.0	0.4444444444444444	0.7142857142857143	0.3448275862068966	0.7222222222222222	0.5	0.5	0.7142857142857143	0.8055555555555556	0.5	1.0	0.5625	0.8	0.4444444444444444	0.13333333333333333	0.0	0.0	0.17857142857142858	0.03125	0.625	0.20588235294117646	0.15625	0.1875	0.20588235294117646	0.22580645161290322	0.22580645161290322	0.17857142857142858	0.041666666666666664	0.10714285714285714	0.041666666666666664	0.26666666666666666	0.4	0.35294117647058826	0.29411764705882354	0.3333333333333333	0.35294117647058826	0.4	0.3888888888888889	0.18518518518518517	0.16666666666666666	0.17391304347826086	0.09090909090909091	0.14814814814814814	0.11538461538461539	0.17391304347826086	0.3125	0.7857142857142857	0.7692307692307693	0.7142857142857143	0.8461538461538461	0.14814814814814814	0.037037037037037035	0.0	0.1111111111111111	0.07407407407407407	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.034482758620689655	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.11538461538461539	0.04	0.6666666666666666	0.7	0.7142857142857143	0.11538461538461539	0.14814814814814814	0.1111111111111111	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.7727272727272727	0.6956521739130435	0.20689655172413793	0.20833333333333334	0.2962962962962963	0.3225806451612903	0.26666666666666666	0.8888888888888888	0.75	0.7727272727272727	0.2413793103448276	0.3333333333333333	0.3	0.2692307692307692	0.3	0.42857142857142855	0.1111111111111111	0.6666666666666666	0.6666666666666666	0.07692307692307693	0.13793103448275862	0.10714285714285714	0.08333333333333333	0.12	0.7142857142857143	0.8333333333333334	0.6666666666666666	0.7857142857142857	0.041666666666666664	0.0	0.0	0.0	0.02702702702702703	0.0	0.7058823529411765	0.041666666666666664	0.03571428571428571	0.03571428571428571	0.034482758620689655	0.034482758620689655	0.037037037037037035	0.23529411764705882	0.23529411764705882	0.1875	0.16666666666666666	0.75	0.625
Arkhit5	0.7037037037037037	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.7	0.08333333333333333	0.0	0.5714285714285714	0.75	0.35714285714285715	0.7777777777777778	0.7142857142857143	0.6666666666666666	0.875	0.8378378378378378	0.7	1.0	0.5294117647058824	0.8125	0.40540540540540543	0.13333333333333333	0.0	0.0	0.14285714285714285	0.03125	0.7777777777777778	0.2571428571428571	0.20588235294117646	0.23529411764705882	0.25	0.28125	0.28125	0.1724137931034483	0.041666666666666664	0.15384615384615385	0.04	0.2727272727272727	0.4375	0.35714285714285715	0.3076923076923077	0.35714285714285715	0.4166666666666667	0.4375	0.46153846153846156	0.2	0.17391304347826086	0.15	0.047619047619047616	0.11538461538461539	0.08	0.13636363636363635	0.34375	0.7857142857142857	0.7692307692307693	0.7142857142857143	0.7857142857142857	0.14285714285714285	0.04	0.0	0.1111111111111111	0.07407407407407407	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.034482758620689655	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.08	0.04	0.7777777777777778	0.8	0.75	0.08	0.1111111111111111	0.07692307692307693	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.8260869565217391	0.782608695652174	0.18518518518518517	0.17391304347826086	0.32	0.3870967741935484	0.3	0.9	0.7727272727272727	0.8333333333333334	0.27586206896551724	0.4	0.3448275862068966	0.23076923076923078	0.2631578947368421	0.6	0.07407407407407407	0.6666666666666666	0.6	0.07407407407407407	0.13333333333333333	0.10344827586206896	0.07692307692307693	0.11538461538461539	0.7692307692307693	0.8333333333333334	0.7142857142857143	0.9166666666666666	0.04	0.0	0.0	0.0	0.02857142857142857	0.0	0.8125	0.043478260869565216	0.06896551724137931	0.037037037037037035	0.03333333333333333	0.034482758620689655	0.037037037037037035	0.2857142857142857	0.2777777777777778	0.25	0.19444444444444445	0.9	0.7142857142857143
Arkhit6	0.6896551724137931	0.02702702702702703	0.029411764705882353	0.02564102564102564	0.02631578947368421	0.02702702702702703	0.0	0.5	0.08	0.0	0.4444444444444444	0.7096774193548387	0.34375	0.6842105263157895	0.375	0.4	0.75	0.8108108108108109	0.5384615384615384	1.0	0.47058823529411764	0.75	0.38461538461538464	0.125	0.0	0.0	0.16666666666666666	0.029411764705882353	0.5555555555555556	0.24324324324324326	0.2	0.22857142857142856	0.23684210526315788	0.2647058823529412	0.2647058823529412	0.2	0.08	0.14285714285714285	0.08	0.14285714285714285	0.3	0.23529411764705882	0.17647058823529413	0.2222222222222222	0.25	0.3	0.29411764705882354	0.21428571428571427	0.16	0.16666666666666666	0.08333333333333333	0.13793103448275862	0.17857142857142858	0.2	0.3142857142857143	0.7333333333333333	0.7142857142857143	0.6666666666666666	0.7857142857142857	0.17857142857142858	0.07692307692307693	0.037037037037037035	0.14285714285714285	0.1111111111111111	0.030303030303030304	0.02857142857142857	0.03125	0.02857142857142857	0.03225806451612903	0.0625	0.0	0.06451612903225806	0.03333333333333333	0.03125	0.03571428571428571	0.030303030303030304	0.034482758620689655	0.03125	0.03225806451612903	0.1	0.038461538461538464	0.038461538461538464	0.04	0.10714285714285714	0.1111111111111111	0.7	0.7272727272727273	0.75	0.14285714285714285	0.1724137931034483	0.10344827586206896	0.04	0.15384615384615385	0.029411764705882353	0.029411764705882353	0.030303030303030304	0.03125	0.034482758620689655	0.029411764705882353	0.7916666666666666	0.72	0.1935483870967742	0.19230769230769232	0.3	0.3235294117647059	0.2727272727272727	0.8947368421052632	0.7619047619047619	0.7916666666666666	0.25	0.3333333333333333	0.30303030303030304	0.25	0.23809523809523808	0.42857142857142855	0.13333333333333333	0.6153846153846154	0.6	0.10714285714285714	0.12903225806451613	0.13793103448275862	0.11538461538461539	0.14814814814814814	0.6666666666666666	0.7692307692307693	0.625	0.7857142857142857	0.08	0.027777777777777776	0.029411764705882353	0.02564102564102564	0.02631578947368421	0.02564102564102564	0.6842105263157895	0.04	0.06666666666666667	0.034482758620689655	0.06666666666666667	0.06666666666666667	0.07142857142857142	0.23684210526315788	0.23684210526315788	0.22857142857142856	0.23076923076923078	0.75	0.625
Bezhta1	0.5454545454545454	0.7	0.7777777777777778	0.7	0.5454545454545454	0.7	0.5	0.0	0.5	0.0	0.3	0.28	0.8	0.15384615384615385	0.0	0.0	0.36363636363636365	0.782608695652174	0.3076923076923077	0.7894736842105263	0.09523809523809523	0.2857142857142857	0.52	0.5714285714285714	0.0	0.0	0.5	0.7272727272727273	0.125	0.6842105263157895	0.8	0.8	0.7058823529411765	0.7647058823529411	0.7647058823529411	0.8181818181818182	0.7777777777777778	0.7272727272727273	0.7777777777777778	0.4166666666666667	0.4	0.42857142857142855	0.42857142857142855	0.35714285714285715	0.4	0.4	0.4	0.5625	0.5714285714285714	0.5333333333333333	0.4666666666666667	0.5	0.5	0.5	0.6	0.3076923076923077	0.3076923076923077	0.4166666666666667	0.4	0.8	0.7	0.6363636363636364	0.7272727272727273	0.8181818181818182	0.75	0.7	0.6666666666666666	0.7	0.5	0.5	0.45454545454545453	0.5333333333333333	0.5	0.6666666666666666	0.75	0.6666666666666666	0.75	0.75	0.6666666666666666	0.6666666666666666	0.5833333333333334	0.6363636363636364	0.5	0.4666666666666667	0.5333333333333333	0.0	0.125	0.14285714285714285	0.5	0.4666666666666667	0.5	0.5	0.5454545454545454	0.7	0.7	0.7	0.6666666666666666	0.75	0.7	0.5	0.4444444444444444	0.5294117647058824	0.6	0.6111111111111112	0.5789473684210527	0.5882352941176471	0.6470588235294118	0.6470588235294118	0.6	0.65	0.5789473684210527	0.5789473684210527	0.5333333333333333	0.47058823529411764	0.3333333333333333	0.4666666666666667	0.2222222222222222	0.1	0.8181818181818182	0.8181818181818182	0.8181818181818182	0.7272727272727273	0.8	0.23076923076923078	0.16666666666666666	0.2631578947368421	0.06666666666666667	0.6	0.5454545454545454	0.6	0.5384615384615384	0.5384615384615384	0.5833333333333334	0.25	0.6666666666666666	0.7272727272727273	0.7777777777777778	0.8181818181818182	0.7	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.5882352941176471	0.6666666666666666	0.45454545454545453	0.4444444444444444
D_Agul	0.5263157894736842	0.08333333333333333	0.09523809523809523	0.08	0.08695652173913043	0.08333333333333333	0.08	0.5	0.0	0.0	0.2222222222222222	0.6521739130434783	0.45454545454545453	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.7096774193548387	0.5	1.0	0.5333333333333333	0.6923076923076923	0.3	0.18181818181818182	0.0	0.0	0.07692307692307693	0.043478260869565216	0.5	0.15384615384615385	0.2	0.16	0.19230769230769232	0.13043478260869565	0.13043478260869565	0.13043478260869565	0.047619047619047616	0.13043478260869565	0.047619047619047616	0.23076923076923078	0.2777777777777778	0.25	0.1875	0.25	0.26666666666666666	0.2631578947368421	0.25	0.13636363636363635	0.14285714285714285	0.1	0.09090909090909091	0.08	0.08695652173913043	0.14285714285714285	0.28	0.6666666666666666	0.6363636363636364	0.5833333333333334	0.6666666666666666	0.14285714285714285	0.0	0.0	0.05263157894736842	0.05263157894736842	0.047619047619047616	0.08695652173913043	0.045454545454545456	0.08695652173913043	0.08	0.037037037037037035	0.1	0.08333333333333333	0.08333333333333333	0.043478260869565216	0.0	0.047619047619047616	0.0	0.047619047619047616	0.05	0.0	0.0	0.0	0.0	0.08333333333333333	0.043478260869565216	0.4444444444444444	0.6	0.5	0.08333333333333333	0.11538461538461539	0.07692307692307693	0.0	0.25	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.045454545454545456	0.0	0.043478260869565216	0.6666666666666666	0.5625	0.13043478260869565	0.05	0.3181818181818182	0.375	0.2916666666666667	0.6923076923076923	0.6153846153846154	0.6875	0.30434782608695654	0.391304347826087	0.30434782608695654	0.16	0.21052631578947367	0.42857142857142855	0.07692307692307693	0.5384615384615384	0.45454545454545453	0.05	0.09090909090909091	0.13636363636363635	0.1	0.05555555555555555	0.6153846153846154	0.6363636363636364	0.5714285714285714	0.7	0.0	0.08333333333333333	0.047619047619047616	0.07692307692307693	0.08	0.08	0.6111111111111112	0.05555555555555555	0.13043478260869565	0.05	0.08695652173913043	0.043478260869565216	0.09523809523809523	0.21428571428571427	0.32142857142857145	0.16	0.25	0.7	0.5
D_Arabic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
