Concept	Concept nr.	List ID	Word	Stem	Set	Confirmed	Comment	Source	Mediator	Add
the ant	1	17	č'ianč'vela	1						
the ant	1	97	č'ianč'vela	1						
the ant	1	8	hũca	2						
the ant	1	14	hũca	2						
the ant	1	141	hũca	2				Non loan		
the ant	1	139	moor	3						
the ant	1	68	NA	NA						
the ant	1	100	NA	NA						
the ant	1	109	NA	NA						
the ant	1	110	NA	NA						
the ant	1	143	NA	NA						
the ant	1	11	namlah	4						
the ant	1	11	nammah	4						
the ant	1	52	qarışğa	5						
the ant	1	13	qarışqa	5						
the ant	1	26	qarışqa	5						
the ant	1	101	qarışqa	5						
the ant	1	102	qarışqa	5						
the ant	1	106	qarışqa	5						
the ant	1	107	qarışqa	5						
the ant	1	108	qarışqa	5						
the ant	1	133	qarışqa	5						
the ant	1	140	zimzu	6				Unidentified		
the ant	1	96	žinč'ela	1						
the ant	1	1	žinč'ola	1						
the ant	1	104	žinč'ola	1						
the ant	1	103	žionč'ela	1						
the ant	1	105	žionč'ela	1						
the ant	1	27	гаришкъа	5						
the ant	1	28	гаришкъа	5						
the ant	1	142	гьарц1а	14						
the ant	1	144	гьарц1а	14						
the ant	1	51	дзы1хцар	8						
the ant	1	23	дзыдза1хъ	8						
the ant	1	81	дзыдзах	8						
the ant	1	86	дзыдзах	8						
the ant	1	87	дзыдзах	8						
the ant	1	88	дзыдзах	8						
the ant	1	82	дзыдзахъ	8						
the ant	1	112	дзыдзахъ	8						
the ant	1	146	жуНж	24						
the ant	1	10	зибз	6						
the ant	1	89	зибз	6						
the ant	1	120	зибз	6						
the ant	1	78	зивз	6						
the ant	1	79	зивз	6						
the ant	1	24	зимз	6						
the ant	1	62	зимз	6						
the ant	1	63	зимз	6						
the ant	1	64	зимз	6						
the ant	1	65	зимз	6						
the ant	1	71	зимз	6						
the ant	1	72	зимз	6						
the ant	1	73	зимз	6						
the ant	1	74	зимз	6						
the ant	1	75	зимз	6						
the ant	1	76	зимз	6						
the ant	1	80	зимз	6						
the ant	1	90	зимз	6						
the ant	1	91	зимз	6						
the ant	1	92	зимз	6						
the ant	1	93	зимз	6						
the ant	1	95	зимз	6						
the ant	1	77	зимзак	6						
the ant	1	37	зимзар	6						
the ant	1	38	зимзар	6						
the ant	1	39	зимзар	6						
the ant	1	40	зимзар	6						
the ant	1	41	зимзар	6						
the ant	1	42	зимзар	6						
the ant	1	43	зимзар	6						
the ant	1	44	зимзар	6						
the ant	1	94	зимс	6						
the ant	1	15	зингат	9						
the ant	1	35	имимай	10						
the ant	1	126	к1к1ара	11						
the ant	1	136	карешпа	12						
the ant	1	114	ККари	11						
the ant	1	98	къа1ришгъа1	5						
the ant	1	99	къаришкъа	5						
the ant	1	20	къомурсгъа	13						
the ant	1	111	лъанц1	14						
the ant	1	138	лъанц1и	14						
the ant	1	16	лъанц1ц1и	14						
the ant	1	137	лъанц1ц1и	14						
the ant	1	19	лъарц1ц1е	14						
the ant	1	53	лъарц1ц1е	14						
the ant	1	54	лъарц1ц1е	14						
the ant	1	55	лъарц1ц1е	14						
the ant	1	56	лъарц1ц1е	14						
the ant	1	58	мизмиз	15						
the ant	1	22	муравей	16						
the ant	1	25	РЕЦÉНЙО	17						
the ant	1	83	РЕЦÉНЙО	17						
the ant	1	84	РЕЦÉНЙО	17						
the ant	1	85	РЕЦÉНЙО	17						
the ant	1	18	рецен	17						
the ant	1	45	симсири	6						
the ant	1	46	симсири	6						
the ant	1	47	симсири	6						
the ant	1	9	танц1ц1а	14						
the ant	1	145	х1ац1а	14						
the ant	1	29	хъаришхъа	5						
the ant	1	29	хъаришхъа	5						
the ant	1	31	хъаришхъа	5						
the ant	1	32	хъаришхъа	5						
the ant	1	134	хъаришхъа	5						
the ant	1	135	хъаришхъа	5						
the ant	1	118	ц1имиц	19						
the ant	1	119	ц1имиц	19						
the ant	1	132	ц1имиц	19						
the ant	1	131	ц1имиц подтвердил	19						
the ant	1	60	ц1имиц1	19						
the ant	1	115	ц1имиц1	19						
the ant	1	127	ц1имиц1	19						
the ant	1	128	ц1имиц1	19						
the ant	1	33	ц1имиц1и	19						
the ant	1	34	ц1имиц1и	19						
the ant	1	36	ц1имиц1и	19						
the ant	1	57	ц1имиц1и	19						
the ant	1	117	ц1имиц1и	19						
the ant	1	61	ц1имици	19						
the ant	1	116	ц1имицци	19						
the ant	1	130	ц1имицци	19						
the ant	1	147	ц1унц1ура	20						
the ant	1	113	ц1уц1ра	20						
the ant	1	12	цIунцIра	20						
the ant	1	129	цlимиц	19						
the ant	1	49	цахцар	8						
the ant	1	66	цвез	22						
the ant	1	67	цвез	22						
the ant	1	69	цвез	22						
the ant	1	70	цвез	22						
the ant	1	3	цег	23						
the ant	1	4	цег	23						
the ant	1	6	цег	23						
the ant	1	121	цег	23						
the ant	1	123	цег	23						
the ant	1	124	цег	23						
the ant	1	125	цег	23						
the ant	1	7	цегв	23						
the ant	1	21	цегв	23						
the ant	1	122	цегв	23						
the ant	1	2	цек	23						
the ant	1	5	цеквуьр	23						
the ant	1	59	цимици	19						
the ant	1	48	цыхцар	8						
the ant	1	50	цыцах	8						
the arch	2	90	(полу-)чарх	1						
the arch	2	131	*чарх	1						
the arch	2	1	arka	2						
the arch	2	96	arka	2						
the arch	2	97	arka	2						
the arch	2	100	arka	2						
the arch	2	102	arka	2						
the arch	2	103	arka	2						
the arch	2	104	arka	2						
the arch	2	105	arka	2						
the arch	2	106	arka	2						
the arch	2	108	arka	2						
the arch	2	14	k’amur	3						
the arch	2	141	k’amur	3				Georgian		
the arch	2	140	kummur	3				Avar		
the arch	2	3	NA	NA						
the arch	2	7	NA	NA						
the arch	2	21	NA	NA						
the arch	2	42	NA	NA						
the arch	2	43	NA	NA						
the arch	2	46	NA	NA						
the arch	2	59	NA	NA						
the arch	2	63	NA	NA						
the arch	2	64	NA	NA						
the arch	2	70	NA	NA						
the arch	2	73	NA	NA						
the arch	2	75	NA	NA						
the arch	2	113	NA	NA						
the arch	2	115	NA	NA						
the arch	2	116	NA	NA						
the arch	2	117	NA	NA						
the arch	2	122	NA	NA						
the arch	2	127	NA	NA						
the arch	2	129	NA	NA						
the arch	2	130	NA	NA						
the arch	2	11	qaus	4						
the arch	2	13	tağ	5						
the arch	2	52	tağ	5						
the arch	2	101	tağ	5						
the arch	2	106	tağ	5						
the arch	2	107	tağ	5						
the arch	2	139	tagh	5						
the arch	2	103	taʁ	5						
the arch	2	1	taʁ podtv	5						
the arch	2	104	taʁ podtv	5						
the arch	2	17	taʁi	5						
the arch	2	97	taʁi	5						
the arch	2	96	taʁi ok	5						
the arch	2	23	ад	6						
the arch	2	126	акъва	7						
the arch	2	2	арка	2						
the arch	2	4	арка	2						
the arch	2	6	арка	2						
the arch	2	8	арка	2						
the arch	2	22	арка	2						
the arch	2	26	арка	2						
the arch	2	27	арка	2						
the arch	2	28	арка	2						
the arch	2	29	арка	2						
the arch	2	29	арка	2						
the arch	2	31	арка	2						
the arch	2	32	арка	2						
the arch	2	34	арка	2						
the arch	2	35	арка	2						
the arch	2	36	арка	2						
the arch	2	37	арка	2						
the arch	2	39	арка	2						
the arch	2	40	арка	2						
the arch	2	44	арка	2						
the arch	2	47	арка	2						
the arch	2	49	арка	2						
the arch	2	57	арка	2						
the arch	2	58	арка	2						
the arch	2	60	арка	2						
the arch	2	61	арка	2						
the arch	2	68	арка	2						
the arch	2	71	арка	2						
the arch	2	74	арка	2						
the arch	2	76	арка	2						
the arch	2	83	арка	2						
the arch	2	118	арка	2						
the arch	2	121	арка	2						
the arch	2	123	арка	2						
the arch	2	124	арка	2						
the arch	2	125	арка	2						
the arch	2	128	арка	2						
the arch	2	131	арка	2						
the arch	2	134	арка	2						
the arch	2	135	арка	2						
the arch	2	136	арка	2						
the arch	2	147	арка	2						
the arch	2	38	арсав	8						
the arch	2	41	арсав	8						
the arch	2	86	арх	9						
the arch	2	33	арцаба	10						
the arch	2	72	ахал	11						
the arch	2	54	буквально	NA			мусор			
the arch	2	54	гургин	12						
the arch	2	12	гъапу	13						
the arch	2	20	гюмез	14						
the arch	2	142	к1авун	3						
the arch	2	143	к1авун	3						
the arch	2	144	к1авун	3						
the arch	2	84	к1аму	3						
the arch	2	85	к1аму	3						
the arch	2	114	к1аму	3						
the arch	2	19	к1амур	3						
the arch	2	53	к1амур	3						
the arch	2	54	к1амур	3						
the arch	2	54	к1амур	3						
the arch	2	55	к1амур	3						
the arch	2	9	к1к1амур	3						
the arch	2	16	к1к1амур	3						
the arch	2	137	к1к1амур	3						
the arch	2	138	к1к1амур	3						
the arch	2	111	к1к1ара	3						
the arch	2	25	КIÁМУ2	3						
the arch	2	146	кIáмур	3						
the arch	2	12	кIамури	3						
the arch	2	18	кIамури	3						
the arch	2	54	круглый	NA			мусор			
the arch	2	56	кьиба	15						
the arch	2	77	мо???	NA			мусор			
the arch	2	15	нартол	16						
the arch	2	98	не	NA			мусор			
the arch	2	99	нет	NA			мусор			
the arch	2	145	подтвердила	NA						
the arch	2	98	помнит	NA			мусор			
the arch	2	56	сорер	17						
the arch	2	45	тагъ	5						
