Meanint	Meaning_ID	Word	List1	List2	Similarity
the ant	1	č'ianč'vela	{"č'ianč'vela"}	{"žinč'ola", "žionč'ela", "žinč'ela", "č'ianč'vela"}	DIFFERENT
the ant	1	moor	{'nammah', 'moor', 'namlah'}	{'moor'}	DIFFERENT
the ant	1	namlah	{'nammah', 'moor', 'namlah'}	{'nammah', 'namlah'}	DIFFERENT
the ant	1	qarışğa	{'qarışqa', 'къа1ришгъа1', 'хъаришхъа', 'къаришкъа', 'qarışğa'}	{'qarışqa', 'къа1ришгъа1', 'къаришкъа', 'гаришкъа', 'qarışğa', 'хъаришхъа'}	DIFFERENT
the ant	1	zimzu	{'зибз', 'зимзак', 'зивз', 'zimzu', 'зимс', 'зимзар', 'зимз'}	{'зибз', 'зимзак', 'зивз', 'симсири', 'zimzu', 'зимс', 'зимзар', 'зимз'}	DIFFERENT
the ant	1	žinč'ela	{"žinč'ola", "žinč'ela", "žionč'ela"}	{"žinč'ola", "žionč'ela", "žinč'ela", "č'ianč'vela"}	DIFFERENT
the ant	1	гаришкъа	{'гаришкъа'}	{'qarışqa', 'къа1ришгъа1', 'къаришкъа', 'гаришкъа', 'qarışğa', 'хъаришхъа'}	DIFFERENT
the ant	1	дзы1хцар	{'дзыдзахъ', 'цыцах', 'дзыдзах', 'дзы1хцар', 'цыхцар', 'дзыдза1хъ', 'цахцар'}	{'дзы1хцар'}	DIFFERENT
the ant	1	дзыдза1хъ	{'дзыдзахъ', 'цыцах', 'дзыдзах', 'дзы1хцар', 'цыхцар', 'дзыдза1хъ', 'цахцар'}	{'дзыдзахъ', 'дзыдзах', 'дзыдза1хъ'}	DIFFERENT
the ant	1	к1к1ара	{'к1к1ара'}	{'ККари', 'к1к1ара'}	DIFFERENT
the ant	1	карешпа	{'ц1имиц1и', 'карешпа'}	{'карешпа'}	DIFFERENT
the ant	1	ККари	{'ККари'}	{'ККари', 'к1к1ара'}	DIFFERENT
the ant	1	лъанц1	{'лъанц1и', 'лъарц1ц1е', 'лъанц1', 'лъанц1ц1и'}	{'лъанц1и', 'лъанц1', 'лъарц1ц1е', 'танц1ц1а', 'лъанц1ц1и'}	DIFFERENT
the ant	1	РЕЦÉНЙО	{'РЕЦÉНЙО', 'рецен'}	{'РЕЦÉНЙО'}	DIFFERENT
