Concept	Concept nr.	List ID	Word	Stem	Set	Confirmed	Comment	Source	Mediator	Add
the ant	1	17	č'ianč'vela	1	1-1					
the ant	1	97	č'ianč'vela	1	1-1					
the ant	1	8	hũca	2	1-2					
the ant	1	14	hũca	2	1-2					
the ant	1	141	hũca	2	1-2			Non loan		
the ant	1	139	moor	3	1-3					
the ant	1	68	NA							
the ant	1	100	NA							
the ant	1	109	NA							
the ant	1	110	NA							
the ant	1	11	namlah	3	1-3					
the ant	1	11	nammah	3	1-3					
the ant	1	52	qarışğa	4	1-4					
the ant	1	13	qarışqa	4	1-4					
the ant	1	26	qarışqa	4	1-4					
the ant	1	101	qarışqa	4	1-4					
the ant	1	102	qarışqa	4	1-4					
the ant	1	106	qarışqa	4	1-4					
the ant	1	107	qarışqa	4	1-4					
the ant	1	108	qarışqa	4	1-4					
the ant	1	133	qarışqa	4	1-4					
the ant	1	140	zimzu	8	1-8			Unidentified		
the ant	1	96	žinč'ela	5	1-5					
the ant	1	1	žinč'ola	5	1-5					
the ant	1	104	žinč'ola	5	1-5					
the ant	1	103	žionč'ela	5	1-5					
the ant	1	105	žionč'ela	5	1-5					
the ant	1	27	гаришкъа	6	1-6					
the ant	1	28	гаришкъа	6	1-6					
the ant	1	51	дзы1хцар	7	1-7					
the ant	1	23	дзыдза1хъ	7	1-7					
the ant	1	81	дзыдзах	7	1-7					
the ant	1	86	дзыдзах	7	1-7					
the ant	1	87	дзыдзах	7	1-7					
the ant	1	88	дзыдзах	7	1-7					
the ant	1	82	дзыдзахъ	7	1-7					
the ant	1	112	дзыдзахъ	7	1-7					
the ant	1	10	зибз	8	1-8					
the ant	1	89	зибз	8	1-8					
the ant	1	120	зибз	8	1-8					
the ant	1	78	зивз	8	1-8					
the ant	1	79	зивз	8	1-8					
the ant	1	24	зимз	8	1-8					
the ant	1	62	зимз	8	1-8					
the ant	1	63	зимз	8	1-8					
the ant	1	64	зимз	8	1-8					
the ant	1	65	зимз	8	1-8					
the ant	1	71	зимз	8	1-8					
the ant	1	72	зимз	8	1-8					
the ant	1	73	зимз	8	1-8					
the ant	1	74	зимз	8	1-8					
the ant	1	75	зимз	8	1-8					
the ant	1	76	зимз	8	1-8					
the ant	1	80	зимз	8	1-8					
the ant	1	90	зимз	8	1-8					
the ant	1	91	зимз	8	1-8					
the ant	1	92	зимз	8	1-8					
the ant	1	93	зимз	8	1-8					
the ant	1	95	зимз	8	1-8					
the ant	1	77	зимзак	8	1-8					
the ant	1	37	зимзар	8	1-8					
the ant	1	38	зимзар	8	1-8					
the ant	1	39	зимзар	8	1-8					
the ant	1	40	зимзар	8	1-8					
the ant	1	41	зимзар	8	1-8					
the ant	1	42	зимзар	8	1-8					
the ant	1	43	зимзар	8	1-8					
the ant	1	44	зимзар	8	1-8					
the ant	1	94	зимс	8	1-8					
the ant	1	15	зингат	9	1-9					
the ant	1	35	имимай	10	1-10					
the ant	1	126	к1к1ара	11	1-11					
the ant	1	136	карешпа	12	1-12					
the ant	1	114	ККари	13	1-13					
the ant	1	98	къа1ришгъа1	4	1-4					
the ant	1	99	къаришкъа	4	1-4					
the ant	1	20	къомурсгъа	14	1-14					
the ant	1	111	лъанц1	15	1-15					
the ant	1	138	лъанц1и	15	1-15					
the ant	1	16	лъанц1ц1и	15	1-15					
the ant	1	137	лъанц1ц1и	15	1-15					
the ant	1	19	лъарц1ц1е	15	1-15					
the ant	1	53	лъарц1ц1е	15	1-15					
the ant	1	54	лъарц1ц1е	15	1-15					
the ant	1	55	лъарц1ц1е	15	1-15					
the ant	1	56	лъарц1ц1е	15	1-15					
the ant	1	58	мизмиз	16	1-16					
the ant	1	22	муравей	17	1-17					
the ant	1	25	РЕЦÉНЙО	18	1-18					
the ant	1	83	РЕЦÉНЙО	18	1-18					
the ant	1	84	РЕЦÉНЙО	18	1-18					
the ant	1	85	РЕЦÉНЙО	18	1-18					
the ant	1	18	рецен	18	1-18					
the ant	1	45	симсири	19	1-19					
the ant	1	46	симсири	19	1-19					
the ant	1	47	симсири	19	1-19					
the ant	1	9	танц1ц1а	20	1-20					
the ant	1	29	хъаришхъа	4	1-4					
the ant	1	29	хъаришхъа	4	1-4					
the ant	1	31	хъаришхъа	4	1-4					
the ant	1	32	хъаришхъа	4	1-4					
the ant	1	134	хъаришхъа	4	1-4					
the ant	1	135	хъаришхъа	4	1-4					
the ant	1	118	ц1имиц	21	1-21					
the ant	1	119	ц1имиц	21	1-21					
the ant	1	132	ц1имиц	21	1-21					
the ant	1	131	ц1имиц подтвердил	21	1-21					
the ant	1	60	ц1имиц1	21	1-21					
the ant	1	115	ц1имиц1	21	1-21					
the ant	1	127	ц1имиц1	21	1-21					
the ant	1	128	ц1имиц1	21	1-21					
the ant	1	33	ц1имиц1и	21	1-21					
the ant	1	34	ц1имиц1и	21	1-21					
the ant	1	36	ц1имиц1и	12	1-12					
the ant	1	57	ц1имиц1и	21	1-21					
